"","Variable","Explanation","Type","Convert.type","Aggregation.interval.length","Aggregation.function","Max.history.length","Normalization.scope","Normalization.function","Moving.average.window","Critical.label"
"1","Var.1","","numerical","NULL",2700,"Mean",21600,"None","None","NULL","NULL"
"2","Var.1","","numerical","NULL",2700,"Min",21600,"None","None","NULL","NULL"
"3","Var.1","","numerical","NULL",2700,"Range",21600,"None","None","NULL","NULL"
"4","Var.2","","numerical","NULL",2700,"Mean",21600,"None","None","NULL","NULL"
"5","Var.2","","numerical","NULL",2700,"Min",21600,"None","None","NULL","NULL"
"6","Var.2","","numerical","NULL",2700,"Range",21600,"None","None","NULL","NULL"
"7","Var.3","","numerical","NULL",2700,"Mean",21600,"None","None","NULL","NULL"
"8","Var.3","","numerical","NULL",2700,"Min",21600,"None","None","NULL","NULL"
"9","Var.3","","numerical","NULL",2700,"Range",21600,"None","None","NULL","NULL"
"10","Var.4","","numerical","NULL",2700,"Mean",21600,"None","None","NULL","NULL"
"11","Var.4","","numerical","NULL",2700,"Min",21600,"None","None","NULL","NULL"
"12","Var.4","","numerical","NULL",2700,"Range",21600,"None","None","NULL","NULL"
